Ensure AI Literacy for All Tarleton Graduates: Please select the TWO actions that should be our highest priorities during the next 12 months.,Accelerate Student Retention and Success Through AI: Please select the TWO actions that should be our highest priorities during the next 12 months.,Enhance Service and Operations Through AI: Please select the TWO actions that should be our highest priorities during the next 12 months.,Foundational Enablers: Which foundational enabler requires the most immediate attention?,"If Tarleton could achieve only ONE major AI-related outcome over the next 12 months, what should it be?",Optional: Where do you think Tarleton State should aim on the AI ambition spectrum?,Optional: Please share any more suggestions you have or challenges you foresee as we move forward on our AI journey.
"Integrate AI learning experiences into existing academic programs;Create AI-related projects, internships, and experiential learning opportunities;",AI-enhanced advising and degree planning;Career readiness and job placement support;,Increase employee effectiveness through AI-enabled tools;Enhance data-informed decision-making;,Equip faculty and staff,Integrate AI learning experiences into existing academic programs.,AI-augmented,
Define core AI competencies every Tarleton graduate should possess;Integrate AI learning experiences into existing academic programs;,Early-alert systems for at-risk students;AI-enhanced advising and degree planning;,Improve service speed and responsiveness;Improve access to institutional knowledge;,Equip faculty and staff,I would like to roll out a tool that can help us quickly (and accurately) identify at-risk students so that we can intervene and help them be successful.,AI-centric,
Launch AI certificates and microcredentials;Integrate AI learning experiences into existing academic programs;,AI-enhanced advising and degree planning;Early-alert systems for at-risk students;,Increase employee effectiveness through AI-enabled tools;Streamline business processes and automate routine tasks;,Resource AI initiatives,AI-enhanced advising and degree planning,AI-intergrated,This is an edit to my previous submission
Define core AI competencies every Tarleton graduate should possess;Expand industry partnerships focused on AI workforce skills;,Improved student service and issue resolution;AI-enhanced advising and degree planning;,Streamline business processes and automate routine tasks;Improve service speed and responsiveness;,Equip faculty and staff,Enhance service and operations ,AI-intergrated,
Define core AI competencies every Tarleton graduate should possess;Integrate AI learning experiences into existing academic programs;,AI-powered tutoring and academic support;Early-alert systems for at-risk students;,Streamline business processes and automate routine tasks;Increase employee effectiveness through AI-enabled tools;,Resource AI initiatives,Every Tarleton graduate leaves AI-ready—able to use AI responsibly and effectively within their discipline and profession.,AI-intergrated,"Tarleton should resist approaching AI as primarily a technology initiative. It is an institutional transformation that will require clear leadership, governance, faculty development, appropriate infrastructure, and measurable outcomes. We should establish university-wide expectations for AI competency while allowing disciplines to define what meaningful and responsible AI use looks like in their fields. Our greatest opportunity for differentiation may be in applied AI—particularly agriculture, rural healthcare, small business and entrepreneurship, education, and workforce development. The challenge will be moving beyond isolated pilots and individual enthusiasm toward coordinated, scalable implementation while maintaining appropriate attention to ethics, academic integrity, data security, and the human judgment that should remain at the center of a Tarleton education."
Integrate AI learning experiences into existing academic programs;Define core AI competencies every Tarleton graduate should possess;,AI-enhanced advising and degree planning;Career readiness and job placement support;,Improve access to institutional knowledge;Increase employee effectiveness through AI-enabled tools;,"Data governance, safety, and guardrails","Define a longterm philosophy on AI integration for our institution, for all faculty, staff and students.",AI-augmented,"As we've discussed regularly, AI technology is changing rapidly. As a university, we want to be the leading experts in knowledge and practice, but if we don't have a shared, foundational definition for its integration and use then I fear everyone will be running difference races. We're all sprinting and running the race, but are we (collectively and unified) running the same race? That's a challenge that could present itself if we don't have a defined, unified vision."
Integrate AI learning experiences into existing academic programs;Define core AI competencies every Tarleton graduate should possess;,Career readiness and job placement support;Early-alert systems for at-risk students;,Enhance data-informed decision-making;Increase employee effectiveness through AI-enabled tools;,Resource AI initiatives,Develop a clear vision of ai's place in academic programs and student outcomes ,AI-intergrated,I think an Ai focus is critical for the growth and survival of universities in the future. 
Integrate AI learning experiences into existing academic programs;Define core AI competencies every Tarleton graduate should possess;,AI-powered tutoring and academic support;Early-alert systems for at-risk students;,Improve access to institutional knowledge;Enhance data-informed decision-making;,Equip faculty and staff,"A clear, practical AI-use policy paired with faculty development that makes that policy usable in the classroom",AI-centric,"As we consider an AI policy, we need to consider that it could become stale very quickly, given the fast-moving nature of AI itself. We can design for some of that, but I would also think building a regular cadence of review would be helpful to ensure it stays up to date and usable. "
Define core AI competencies every Tarleton graduate should possess;Integrate AI learning experiences into existing academic programs;,Career readiness and job placement support;AI-enhanced advising and degree planning;,Improve service speed and responsiveness;Streamline business processes and automate routine tasks;,Equip faculty and staff,Ensure that each student who leaves Tarleton State can use AI safely and effectively. ,AI-intergrated,
Define core AI competencies every Tarleton graduate should possess;Integrate AI learning experiences into existing academic programs;,Improved student service and issue resolution;Early-alert systems for at-risk students;,Enhance data-informed decision-making;Increase employee effectiveness through AI-enabled tools;,Equip faculty and staff,"Equip the faculty and staff. Everything else hinges on sound and effective decision making. There is obviously a fair amount of ai use on campus among employees but some of it is undisciplined and at times counterproductive because the owner let AI lead with the ideas. The ai should assist employees. We have to own the technology, not vice versa. Ai can replace undisciplined users. It can’t replace talented employees disciplined at its use. That notion applies to the future of our students as well. ",AI-intergrated,"I would suggest that the term AI centric is bad business. We are and should always be student centric. AI is a tool. It supports and extends us. But it and we are here to enhance the student experience. 

Reposting my response to #5 here because I do think it’s central to a practical vision. 

Equip the faculty and staff. Everything else hinges on sound and effective decision making. There is obviously a fair amount of ai use on campus among employees but some of it is undisciplined and at times counterproductive because the owner let AI lead with the ideas and didn’t fully own the product. We can’t blame AI when the product is sloppy … if we do that, we acknowledge that we’ve relinquished ownership and are replaceable. The ai should assist employees. We have to own the technology, not vice versa. Ai can replace undisciplined users. It can’t replace talented employees disciplined at its use. That notion applies to the future of our students as well. Training and education should be our early priority I’d suggest…. But we do have to support a small segment of users that keep Tarleton State ahead of others in the higher ed marketplace. 
"
Integrate AI learning experiences into existing academic programs;Define core AI competencies every Tarleton graduate should possess;,Early-alert systems for at-risk students;Career readiness and job placement support;,Streamline business processes and automate routine tasks;Improve service speed and responsiveness;,Equip faculty and staff,"Faculty, staff and students recognize the power and limitations of AI",AI-intergrated,"We tend to look on AI much like we do a foreign language when it is merely a repository of what we know with algorithms to help answer questions.  If we recognize it as a tool, we will be ok."
Define core AI competencies every Tarleton graduate should possess;Integrate AI learning experiences into existing academic programs;,Early-alert systems for at-risk students;AI-enhanced advising and degree planning;,Increase employee effectiveness through AI-enabled tools;Streamline business processes and automate routine tasks;,Equip faculty and staff,All faculty/staff are AI literate.,AI-intergrated,The unknown safety and security/privacy implications. 
Define core AI competencies every Tarleton graduate should possess;Launch AI certificates and microcredentials;,Career readiness and job placement support;Improved student service and issue resolution;,Improve service speed and responsiveness;Slippery slope ... nothing is worse than getting caught in an AI bot loop and NEVER being able to talk to a human!;,Equip faculty and staff,Certificates and microcredentials for faculty/staff first then students,AI-augmented,
"Integrate AI learning experiences into existing academic programs;Create AI-related projects, internships, and experiential learning opportunities;",AI-enhanced advising and degree planning;Early-alert systems for at-risk students;,Streamline business processes and automate routine tasks;Improve service speed and responsiveness;,Equip faculty and staff,"Allowing students to see their academic progress in one simple view with ""what-if"" options to help them be more aware of their trajectory and combine all of our different, clunky systems. ",AI-intergrated,
"Integrate AI learning experiences into existing academic programs;Create AI-related projects, internships, and experiential learning opportunities;",AI-enhanced advising and degree planning;AI-powered tutoring and academic support;,Streamline business processes and automate routine tasks;Enhance data-informed decision-making;,Resource AI initiatives,AI driven advising and degree planning for students,AI-intergrated,
Launch AI certificates and microcredentials;Integrate AI learning experiences into existing academic programs;,AI-enhanced advising and degree planning;Improved student service and issue resolution;,Streamline business processes and automate routine tasks;Enhance data-informed decision-making;,"Data governance, safety, and guardrails","I would begin by determining what AI practices are unacceptable across the university for faculty, staff, and students, while encouraging everyone to engage with AI. Defining the negative space de facto establishes guidelines signals the direction of the university in rapidly adopting AI, provides guidance and guardrails for both acceptable and unacceptable use, and creates space for all employees to work on discovery and innovation.",AI-centric,The sheer number of labor constraints associated with a growing university are going to reward faculty and staff who find ways to incorporate AI (both good and bad uses). Keeping up to date with policies and procedures will be a critical component moving forward. 
